1,1,
1,1,years old hacks narendra modi app and accesses private data of million people.isnt it breach of privacy URL
1,1,USER_MENTION USER_MENTION real beauty best beauty
1,1,kaha ho USER_MENTION madam kitna looto ge desh ko acche din to tumare bjp aur chor modi k he hai desh k janta k to nahi aiye USER_MENTION USER_MENTION
1,1,anarchic indian pm USER_MENTION is guilty of service to make democracy defunct.under modis behest fleeced rs crore from bpls minimum maintained balance URL
1,1,newdelhi annahazare modi aap URL
1,1,USER_MENTION yahan jitne bhi bhakt bhonk rahen hai meri apeel hai un sab se agar unko poora bharosa hai apne modi pappa pe to zara confirm karke batayen ki sirf bjp hi evm ki saport mai kyun hai or agar zabab na ho to kutte ki tarah faltu na bhonke please
1,1,te lo avrebbero lasciato
1,1,why cant modi govt give special status watch this reportmore videos URL
1,1,USER_MENTION USER_MENTION USER_MENTION bjpmst enlistservicesof ppl n their constituency abt modi govts achievements.regular meeting must b held till polls
1,1,that is the prevailing noconfidence of the public against it
1,1,USER_MENTION USER_MENTION mr modi is the best option how lets go simple.5 things mr modi did in last four years which has a positive impact on people of india unequivocal pls not your self valued pls
1,1,USER_MENTION they thought u r anti modi u should have chanted modi modi modi times before them
1,1,writers and bureaucrats given to write against pm modi through cambridge analytica URL via USER_MENTION
1,1,dude no wonder modi didnt give you an extension all such sane voices have no place around him URL
1,1,modi ji is not work up to the mark as promised i accept but rahul baba seems your years of education is still pending bhai kuch to knowledge gain karo we dont have good opposition leader you are wrost of wrost URL
1,1,pm modi congratulates winners of rajya sabha polls URL
1,1,USER_MENTION USER_MENTION ak joti was a disgrace fr ec but modi has no values fr niceties morals he just wants brute power not good fr india
1,1,USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION the anchor is also a modi bhakt bjp bhakt
